event_annotation	variant	template	genomic_start	genomic_end	transcriptomic_start	transcriptomic_end
a5	ENSG00000265791_a5	ENSG00000265791_template	30781992	30782003	1	12
ir	ENSG00000171853_ir	ENSG00000171853_template	3465808	3466253	6937	7382
mee	ENSG00000074755_mee	ENSG00000074755_template	4102317	4102415	1709	1807
mee	ENSG00000074755_template	ENSG00000074755_mee	4096609	4096700	1709	1800
mes	ENSG00000140374_mes	ENSG00000140374_template	76285637,76284805,76284365,76283757,76274133,76245212,76230504,76227713,76225849	76285738,76284927,76284460,76283841,76274494,76245248,76231398,76228249,76226335	973,1075,1198,1294,1379,1741,1778,2673,3210	1074,1197,1293,1378,1740,1777,2672,3209,3696
es	ENSG00000115155_es	ENSG00000115155_template	26460852	26461030	6390	6568
mes	ENSG00000115155_mes	ENSG00000115155_template	26516418,26503772,26502300,26501754,26494942,26489678,26489211,26484474,26483462,26482406,26480786,26480203,26479473,26479264,26477649,26477416,26477172,26476891,26476128,26475914,26475359,26474513,26473991,26473406,26473132,26472332,26471121,26470593,26468408,26467365,26467099,26466714,26465949,26465672,26464869,26463964,26463483,26462083	26516599,26503845,26502426,26501808,26495073,26489740,26489295,26484633,26483648,26482592,26481009,26480311,26479653,26479384,26478042,26477506,26477288,26477043,26476317,26476038,26475493,26474674,26474110,26473567,26473294,26472649,26471150,26470721,26468474,26467501,26467233,26466851,26466325,26465842,26465029,26464106,26463571,26462181	455,637,711,838,893,1025,1088,1173,1333,1520,1707,1931,2040,2221,2342,2736,2827,2944,3097,3287,3412,3547,3709,3829,3991,4154,4472,4502,4631,4698,4835,4970,5108,5485,5656,5817,5960,6049	636,710,837,892,1024,1087,1172,1332,1519,1706,1930,2039,2220,2341,2735,2826,2943,3096,3286,3411,3546,3708,3828,3990,4153,4471,4501,4630,4697,4834,4969,5107,5484,5655,5816,5959,6048,6147
es	ENSG00000205517_es	ENSG00000205517_template	11418671	11418892	98	319
a5	ENSG00000205517_a5	ENSG00000205517_template	11416463	11416768	387	692
es	ENSG00000122547_es	ENSG00000122547_template	36154133	36155202	422	1491
es	ENSG00000028137_es	ENSG00000028137_template	12188796	12188895	180	279
